,品名,规格,市场,价格,趋势,周涨跌,月涨跌,年涨跌
119, 田基黄 , 统 较广 ,玉林,24.00,平,0.00%,0.00%,9.09%
120, 三七花 , 两年花蕾 .. ,玉林,220.00,平,0.00%,4.76%,-15.38%
121, 绿豆 , 统 较广 ,玉林,11.00,平,0.00%,0.00%,22.22%
122, 葶苈子 , 净统 较广 ,玉林,10.00,平,0.00%,0.00%,-28.57%
123, 肉苁蓉 , 硬个 新疆 ,玉林,25.00,平,0.00%,0.00%,-28.57%
124, 肉豆蔻 , 统 进口 ,玉林,45.50,平,0.00%,3.41%,-9.90%
125, 独活 , 肉统 湖北 ,玉林,16.00,平,0.00%,0.00%,0.00%
126, 三叉虎 , 茎 广西 ,玉林,3.00,平,0.00%,0.00%,0.00%
127, 三七 , 40头春七.. ,玉林,138.00,平,0.00%,0.00%,-16.36%
128, 三七 , 60头春七.. ,玉林,128.00,平,0.00%,-1.54%,-11.72%
129, 三七 , 80头春七.. ,玉林,120.00,平,0.00%,1.69%,-14.29%
130, 三七 , 120头春.. ,玉林,115.00,平,0.00%,0.00%,-14.81%
131, 紫贝齿 , 统 较广 ,玉林,24.00,平,0.00%,0.00%,0.00%
132, 桑白皮 , 带皮统个 .. ,玉林,13.00,平,0.00%,0.00%,0.00%
133, 桑白皮 , 刮皮统个 .. ,玉林,30.00,平,0.00%,0.00%,-9.09%
134, 桑寄生 , 统片 广西 ,玉林,5.50,缺,0.00%,0.00%,0.00%
135, 桑螵蛸 , 熟大绵 东.. ,玉林,780.00,平,0.00%,0.00%,4.00%
136, 桑椹 , 黑统 较广 ,玉林,16.00,平,0.00%,0.00%,0.00%
137, 桑叶 , 青统 较广 ,玉林,5.00,平,0.00%,0.00%,-23.08%
138, 桑枝 , 统片 较广 ,玉林,4.50,平,0.00%,0.00%,0.00%
139, 沙苑子 , 统 陕西 ,玉林,45.00,平,0.00%,0.00%,-10.00%
140, 砂仁 , 壳砂统 国.. ,玉林,125.00,平,0.00%,0.00%,-34.21%
141, 砂仁 , 壳砂统 进.. ,玉林,27.50,平,0.00%,0.00%,-29.49%
142, 山慈菇 , 统 西南 ,玉林,300.00,平,0.00%,0.00%,0.00%
143, 山海螺 , 统 广西 ,玉林,57.00,畅,0.00%,0.00%,-5.00%
144, 山黄皮 , 统 两广 ,玉林,43.00,平,0.00%,0.00%,0.00%
145, 山柰 , 统 国产 ,玉林,71.50,平,0.00%,0.00%,19.17%
146, 山柰 , 统 进口 ,玉林,66.00,平,0.00%,1.54%,24.53%
147, 山楂 , 手工统片 .. ,玉林,11.00,平,0.00%,0.00%,-8.33%
148, 山楂 , 机切统片 .. ,玉林,6.50,平,0.00%,0.00%,-7.14%
149, 山楂叶 , 统个 较广 ,玉林,7.00,平,0.00%,0.00%,0.00%
150, 山芝麻 , 全草统 较.. ,玉林,7.00,缺,0.00%,0.00%,0.00%
151, 栀子 , 统 江西 ,玉林,22.00,平,0.00%,0.00%,-62.07%
152, 栀子 , 统个 福建 ,玉林,20.00,平,0.00%,0.00%,-61.54%
153, 山茱萸 , 饮片货 陕.. ,玉林,56.00,快,0.00%,0.00%,-6.67%
154, 山茱萸 , 药厂货 陕.. ,玉林,45.00,快,0.00%,0.00%,-18.18%
155, 蛇床子 , 净货 较广 ,玉林,21.00,畅,0.00%,0.00%,-25.00%
156, 蜻蜓 , 统 较广 ,玉林,950.00,缺,0.00%,0.00%,0.00%
157, 芒硝 , 统货 较广 ,玉林,2.00,平,0.00%,0.00%,33.33%
158, 猫须草 , 统段 广西 ,玉林,9.00,平,0.00%,0.00%,0.00%
159, 猫爪草 , 家统 河南 ,玉林,43.00,慢,0.00%,0.00%,-96.09%
160, 毛冬青 , 统 广西 ,玉林,4.00,平,0.00%,0.00%,0.00%
161, 知母 , 家种统片 .. ,玉林,13.00,平,0.00%,0.00%,-7.14%
162, 没食子 , 统 进口 ,玉林,55.00,平,0.00%,0.00%,-12.70%
163, 没药 , 统 进口 ,玉林,30.00,平,0.00%,0.00%,0.00%
164, 玫瑰花 , 无硫统 山.. ,玉林,95.00,平,0.00%,0.00%,72.73%
165, 虻虫 , 大统 较广 ,玉林,1500.00,平,0.00%,-3.23%,-3.23%
166, 密蒙花 , 好统 四川 ,玉林,23.00,平,0.00%,0.00%,-8.00%
167, 磨盘草 , 统 较广 ,玉林,4.50,平,0.00%,0.00%,0.00%
168, 母丁香 , 统 进口 ,玉林,13.00,平,0.00%,-3.70%,-7.14%
169, 牡丹皮 , 刮丹统 安.. ,玉林,80.00,慢,0.00%,0.00%,-20.00%
170, 木鳖子 , 统 广西 ,玉林,21.00,平,0.00%,0.00%,0.00%
171, 木蝴蝶 , 泰国统 ,玉林,48.00,平,0.00%,0.00%,-18.64%
172, 木通 , 统片 较广 ,玉林,13.00,平,0.00%,0.00%,0.00%
173, 野山楂 , 统片 较广 ,玉林,9.00,慢,0.00%,0.00%,0.00%
174, 牛蒡子 , 统 甘肃 ,玉林,13.00,平,0.00%,0.00%,-18.75%
175, 牛大力 , 统片 广西 ,玉林,35.00,缺,0.00%,0.00%,0.00%
176, 苦玄参 , 统个 两广 ,玉林,18.00,滞,0.00%,0.00%,0.00%
177, 女贞子 , 鸡腰形 西.. ,玉林,4.00,平,0.00%,0.00%,0.00%
178, 藕节 , 统个 较广 ,玉林,16.50,平,0.00%,0.00%,0.00%
179, 胖大海 , 长果 进口 ,玉林,240.00,平,0.00%,0.00%,20.00%
180, 胖大海 , 圆果 进口 ,玉林,145.00,平,0.00%,0.00%,11.54%
